PERISKOP,towel rail,
PERSIKA,vase,
PERSISK GABBEH,rug,low pile
PERSISK HAMADAN,rug,low pile
PERSISK KELIM GASHGAI,rug,flatwoven
PERSISK KELIM,rug,flatwoven
PERSISK,rug,low pile
PHALAENOPSIS,potted plant,
PILATORP,basket,set of 4
PIRO,wall clock,
PJÄS,basket,
PJÄS,basket with base,
PJÄS,decorative vase,
PJÄS,dish,
PJÄTTERYD,picture,
PJÄTTERYD,series,
PLAN,molding,
PLAN,multi-function profile,
PLAN,quarter round,
PLAN,wall clip for skirting board,
PLASTIS,dishwashing brush,
PLASTIS,ice cube tray,
PLASTIS,rubber gloves,
PLATTA,decking,
PLIKTIG,paper napkin,
PLUGGIS,magazine file,set of 2
PLUGGIS,wastepaper basket,
POÄNG,chair,
POÄNG,children's armchair,
POÄNG,footstool,
POÄNG,series,
POKAL,series,
POKAL,tumbler,
POLARVIDE,throw,
POMP,lantern for block candle,
PORTIS,series,
POTATISMOS,mashed potatoes,frozen
POVEL,caster for soft floors,
PRÄGEL,countertop,
PRAKTFULL PRO,51 S gas range,
PRAKTFULL PRO,50 S exhaust hood,
PRAKTFULL,gas range with wall panel/extr hood,
PRÄKTIG,curtain rod set,
PRÄNT,box,
PRÄNT,box with lid,
PRÄNT,magazine box with lid,
PREMIÄR,series,
PRESSA,clothes pin,
PRESSA,hanging dryer with 16 clothes clips,
PRESSA,ironing board cover,
PRESTERA,fish/poultry shears,
PRICKIG,microwave lid,
PRODUKT,milk-frother,
PRÖJS,desk pad,
PROMPT,roasting pan with grill rack,
PROPER,series,
PRUTA,food saver,set of 17
PUGG,wall clock,
PULT,ceiling lamp,
PUNKT,caster for soft floors,
PUNKTLIG,paper napkin,
PYRA,wok,
PYSSLA,bead shape set of 4,
PYSSLA,beads,
RÅÅN,4-piece bathroom set,
RÅÅN,mirror,
RÅÅN,series,
RÅÅN,soap dish,
RÅÅN,soap dispenser,
RABALDER,cable reel,
RÅDIG,espresso maker 3 cup,
RADIUM,spotlight system,
RAGNA,fabric,
RAJTAN,spice jar,
RAKET,table easel,
RAM,frame,
RAM,mirror,
RAMSKÄR,bathmat,
RAMVIK,coffee table,
RAMVIK,side table with drawer,
RÄNTA,countertop lighting,halogen
RARITET,cheese dome,
RARITET,food saver,
RARITET,sereis,
RAST,3 drawer chest,
RAST,nightstand,
RATIONELL,series,
RÄTTVIK,series,
RAVENEA,potted plant,
REBBENES,leg frame,
REDA,food saver,set of 5
REDALEN,bed frame,
REGOLIT,pendant lamp shade,
REGOLIT,series,
REKO,glass,
REKTANGEL,series,
REKTANGEL,vase,
RENATE FLORA,pair of curtains,
RENATE,collection,
RENATE,shade,
RENLIG,dishwasher,
RENLIG,dishwasher with tall tub,
RENLIG,integrated dishwasher,
RENS,sheepskin,
RESURS,carving board,
RETRÄTT,knife block,
RETUR,recycling bin,
RIBBA,frame,
RIBBA,frame for 2 pictures,
RIBBA,series,
RICKARD,swivel chair,
RIGEL,hook,
RIGGA,clothes rack,
RIKLIG,teapot,
RIKTIG ÖGLA,curtain ring,
RIKTIG,curtain ring,
RIKTIG,gathering tape,
RIKTIG,hook,glider and clip
RIKTIG,tie-back,
RILL,caster,
RILL,locking caster,
RINGSKÄR,detergent dispenser,
RINGSKÄR,single lever kitchen faucet,
RINGUM,rug,low pile
RISÖR,room divider,
RISTEN,box with lid,set of 3
RISTEN,box,set of 4
RITVA,series,
RIVAL,chopsticks 6 pairs,
ROFYLLD,childrens rocking-chair,
ROGER,chair,
RÖJA,label holder,
ROMANTISK,tray,
RÖNÅS,block candle holder,
RÖNÅS,candlestick,
RÖNÅS,series,
RÖNÅS,tealight holder,
RONDO,18-piece dinnerware set,
RÖNNBÄR,plant pot,
RÖNNBÄR,saucer,
RÖNNSKÄR,series,
RÖRA,mortar and pestel,
ROSTAD LÖK,roasted onion,
ROTERA,lantern for tealight,
RUDOLF,swivel chair,
RUFSIG,wok utensils,set of 2
RUGGA,picture hook,
RULL,knob,
RUNDEL,laundry bin,
RUNDEL,wastepaper basket,
RUSCH,wall clock,
RUSIG,decorative stickers,
RUSIG,rocker,
RUSTIK,20-piece cutlery set,
RUTBO,series,
RUTER,ironing board,
RUTGER/JULES,swivel chair with casters,
RYKENE,bed frame,
RYKENE,nightstand,
SAGOSTEN,removable cover,
SALMI,dining table,
SALONG,vase,
SALTGRUND,shower curtain,
SALTSKÄR,mirror cabinet,
SALTSKÄR,wall cabinet,
SAMLA,series,
SAMTID,floor/reading lamp,
SAMTID,table lamp,
SANELA,cushion cover,
SANELA,pair of curtains,
SANSAD,children's stool,
SANSAD,children's table,
SARALISA,fabric,
SARITA,fabric,
SARITA,pair of curtains,
SÄTER,2.5-seat sofa,
SÄVERN,mirror,
SÄVERN,series,
SÄVERN,towel hanger/shelf,
SÄVERN,wall shelf unit,
SAXNÄS,frame,
SCHLUMBERGERA,potted plant,
SEBASTIAN,bar stool,
SEDLIG,20-piece cutlery set,
SEDLIG,coffee spoon,
SEDLIG,salad/dessert fork,
SEDLIG,spoon,
SEDLIG,teaspoon,
SEKIN,serving bowl,
SEMVIK,4-piece bathroom set,
SEMVIK,tumbler,
SENIOR,oven/serving dish,
SENIOR,series,
SIGNE,rug,flatwoven
SIGNUM,series,
SIGRID,dish towel,
SIGRID,pot holder,
SIGRID,series,
SINDAL,door mat,
SIRLIG,chandelier for 10 candles,
SJÖVIK,buffet,
SJÖVIK,dining table,
SKALA,tray,
SKÅLIG,serving plate,
SKÄNKA,frying pan,
SKÄNKA,pot with lid,
SKÄNKA,series,
SKÄR,series,
SKIMMER,block candle holder,
SKIMMER,candlestick,
SKIMRA,shade,
SKIR,series,
SKOJ,wall clock,
SKOJIG,ighting Series,
SKOJIG,wall lamp,
SKOJIG,work lamp,
SKORPOR FULLKORN,wholemeal crisprolls,
SKORPOR KARDEMUMMA,cardamom crisp rolls,
SKRAPA,rubber spatula,
SKRIBENT,book-end,
SKRUVSTA,swivel chair,
SKUBB,box,
SKUBB,box with compartments,
SKUBB,clothes cover,set of 3
SKUBB,hanging clothes bag,
SKUBB,organizer with 5 compartments,
SKUBB,organizer with 9 compartments,
SKUBB,series,
SKUBB,shoe box,
SKUBB,storage box,set of 6
SKUBB,storage case,
SKUGGIG,curtain rod set,
SKUGGIG/ENJE,window solution,
SKUTTA,coaster,
SKUTTA,place mat,
SKYDD,wood treatment oil,indoor use
SKYDDA,series,
SLABANG,alarm clock,
SLÄTTEN,floor,click-lock function
SLÄTTHULT,series,
SLIPAD,3-piece knife set,
SLIPAD,knife block with 5 knives,
SLITBAR,chef's knife,
SLITBAR,series,
SLOM,bottle with stopper,
SLOM,series,
SLUGGER,caster,
SLUGIS,box,
SLUGIS,lid,
SLUKA,vacuum flask,
SLUMRA,flat sheet,
SMÅDAL TV,unit,
SMÅDAL,bookcase,
SMÅDAL,bookcase with drawer,
SMÅDAL,coffee table,
SMÅDAL,desk,
SMÅDAL,glass door,
SMAKA,cheese slicer,
SMÄRT,table lamp,
SMARTA NYTTA,serving bowl,
SMARTA NYTTA,serving plate,
SMARTA,oven/serving dish,
SMARTA,pie dish,
SMARTA,series,
SMARTA,serving bowl,
SMARTA,serving plate,
SMASKA,3-piece cutlery set,
SMASKA,6-piece feeding/baby spoon set,
SMASKA,bowl,
SMASKA,eating series,
SMASKA,plate,
SMASKA,training cup,
SMEDSTA,swivel armchair cover,
SMEDSTA,swivel chair,
SMIDD,handle,
SMILA BAGGE,wall lamp,
SMILA BLOMMA,wall lamp,
SMILA MÅNE,wall lamp,
SMILA SOL,ceiling lamp,
SMILA STJÄRNA,wall lamp,
SMYCKA,artificial flower,
SMYCKA,artificial garland,
SMYCKA,artificial wreath,
SMYCKA,series,
SNÅLIS,box,
SNÅLIS,lid,
SNÅR,place mat,
SNÄRTIG,artificial flower,
SNÄRTIG,vase,
SNIGLAR,series,
SNILLE,swivel chair,
SNILLE,visitor chair,
SNITSIG,pot with lid,
SNITSIG,series,
SNITTA,knife,
SNÖA,hristmas stocking,
SNÖA FLINGA,fabric,
SNÖA FLINGA,place mat,
SNÖA HIMMELSK,cushion,
SNÖA HIMMELSK,fabric,
SNÖA MEDALJONG,tablecloth,
SNÖA RUTAN,bag,
SNÖA RUTAN,bath towel,
SNÖA RUTAN,bedspread,
SNÖA RUTAN,cushion,
SNÖA RUTAN,duvet cover and pillowcase(s),
SNÖA RUTAN,fabric,
SNÖA STJÄRNA,apron,
SNÖA STJÄRNA,carry bag,
SNÖA STJÄRNA,children's apron,
SNÖA STJÄRNA,dish towel,
SNÖA STJÄRNA,duvet cover and pillowcase(s),
SNÖA STJÄRNA,fabric,
SNÖA STJÄRNA,oven mitt,
SNÖA STJÄRNA,pot holder,
SNÖA STJÄRNA,rug,low pile
SNÖA STJÄRNA,sleeping bag/comforter,
SNÖA,bag,
SNÖA,cushion,
SNÖA,napkin,
SNÖA,shower curtain,
SNÖA,tablecloth,
SNÖA,throw,
SNODD,knob,
SNÖIG,floor lamp,
SNÖIG,pendant lamp,
SNÖIG,wall lamp,
SNÖIG,work lamp,
SNÖRIK,pastry cutter,set of 6
SNÖRIK,tin,set of 3
SNÖVITA,24-piece gift wrap and label set,
SNÖVITA,block candle,
SNÖVITA,candle in glass,
SNÖVITA,card with envelope,
SNÖVITA,decorative bow,set of 16
SNÖVITA,double-sided gift wrap,
SNÖVITA,gift bag,
SNÖVITA,gift bag,set of 3
SNÖVITA,gift bag,set of 9
SNÖVITA,gift box,set of 3
SNÖVITA,gift card,
SNÖVITA,gift wrap,roll
SNÖVITA,lantern for block candle,
SNÖVITA,lantern for candle in a metal cup,
SNÖVITA,plant pot,
SNÖVITA,ribbon,
SNÖVITA,ribbon,set of 4
SNÖVITA,scented candle in glass,
SNÖVITA,tealight holder,
SNUDDA,lazy Susan,
SOCKER,series,
SOCKERÄRT,vase,
SODA,drinking straw,
SOFIA,fabric,
SOLMYRA,picture,
SOLSTA OLARP,chair,
SOLSTA PÄLLBO,footstool,
SOLSTA,sofa bed,
SOLSTRÅLE,vase,
SOLVAR,chair,
SOLVEIG,panel curtain,
SOMNAT,crib,
SOMRIG,vase,
SÖNDRUM,series,
SONGE,mirror,
SORGLÖS,vase,
SÖRLI,mirror,
SORTERA,recycling bin with lid,
SORTI,place mat,
SÖRUM,nightstand,
SPALT,napkin ring/place card stand,
SPÄNN,handle,
SPARKA,soft toy,
SPÄRRA,plastic sheeting,
SPARSAM,compact twin tube,
SPARSAM,fluorescent tube T5,
SPARSAM,low-energy bulb,
SPATHIPHYLLUM,potted plant,
SPEJA,tunnel,
SPÖKA,night light,
SPOLING,eries,
SPONTAN,container for metal board,set of 2
SPONTAN,magnetic board,
SPONTAN,series,
SPRALLIG,knob/hook rack,
SPRITTA,series,
STABIL,lid,
STABIL,pasta insert,
STABIL,series,
STACKIG,tray,
STÄLL,series,
STÄM,series,
STAPEL,basket,
STARTBOX PLUS,60-piece dinnerware set,
STAVE,mirror,
STEFAN,chair,
